日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-05-08,1101,台泥,30.65,30.75,30.55,30.55,264650904,TWSE,2025-06-07 13:27:49
2025-05-08,1102,亞泥,45.5,45.8,44.9,45.05,335485762,TWSE,2025-06-07 13:27:49
2025-05-08,1103,嘉泥,15.95,15.95,15.7,15.75,2891217,TWSE,2025-06-07 13:27:49
2025-05-08,1104,環泥,28.75,29.2,28.65,29.1,14195728,TWSE,2025-06-07 13:27:49
2025-05-08,1108,幸福,14.9,15.0,14.85,14.95,1525132,TWSE,2025-06-07 13:27:49
2025-05-08,1109,信大,17.6,17.6,17.2,17.2,1894863,TWSE,2025-06-07 13:27:49
2025-05-08,1110,東泥,19.5,19.7,19.0,19.0,6555384,TWSE,2025-06-07 13:27:49
2025-05-08,1201,味全,17.3,17.4,17.1,17.1,3737240,TWSE,2025-06-07 13:27:49
2025-05-08,1203,味王,40.15,40.7,40.15,40.5,1359379,TWSE,2025-06-07 13:27:49
2025-05-08,1210,大成,63.0,63.7,62.1,62.7,198596454,TWSE,2025-06-07 13:27:49
2025-05-08,1213,大飲,14.05,14.15,13.95,14.05,520614,TWSE,2025-06-07 13:27:49
2025-05-08,1215,卜蜂,105.5,108.0,104.5,106.5,209013775,TWSE,2025-06-07 13:27:49
2025-05-08,1216,統一,80.3,81.3,80.3,80.7,564851820,TWSE,2025-06-07 13:27:49
2025-05-08,1217,愛之味,11.55,11.6,11.5,11.5,7490707,TWSE,2025-06-07 13:27:49
2025-05-08,1218,泰山,22.45,22.7,22.3,22.4,47719193,TWSE,2025-06-07 13:27:49
2025-05-08,1219,福壽,16.4,16.5,16.15,16.15,12628930,TWSE,2025-06-07 13:27:49
2025-05-08,1220,台榮,15.2,15.3,15.15,15.2,3617699,TWSE,2025-06-07 13:27:49
2025-05-08,1227,佳格,37.95,37.95,37.45,37.55,26205296,TWSE,2025-06-07 13:27:49
2025-05-08,1229,聯華,46.1,46.4,45.75,45.9,33531432,TWSE,2025-06-07 13:27:49
2025-05-08,1231,聯華食,139.5,141.5,139.5,139.5,28206029,TWSE,2025-06-07 13:27:49
2025-05-08,1232,大統益,163.0,164.5,162.0,163.0,21454108,TWSE,2025-06-07 13:27:49
2025-05-08,1233,天仁,32.8,32.8,32.5,32.5,889261,TWSE,2025-06-07 13:27:49
2025-05-08,1234,黑松,41.35,41.4,40.9,41.0,6715852,TWSE,2025-06-07 13:27:49
2025-05-08,1236,宏亞,21.9,21.9,21.6,21.6,79817,TWSE,2025-06-07 13:27:49
2025-05-08,1256,鮮活果汁-KY,122.0,126.5,120.5,125.5,8368613,TWSE,2025-06-07 13:27:49
2025-05-08,1301,台塑,36.25,36.35,35.6,35.65,560902174,TWSE,2025-06-07 13:27:49
2025-05-08,1303,南亞,31.75,31.75,30.95,30.95,301272098,TWSE,2025-06-07 13:27:49
2025-05-08,1304,台聚,10.6,10.65,10.35,10.45,15114325,TWSE,2025-06-07 13:27:49
2025-05-08,1305,華夏,11.75,11.8,11.55,11.65,5150036,TWSE,2025-06-07 13:27:49
2025-05-08,1307,三芳,39.85,40.05,39.25,39.3,85116885,TWSE,2025-06-07 13:27:49
2025-05-08,1308,亞聚,13.05,13.1,12.5,12.55,46881627,TWSE,2025-06-07 13:27:49
2025-05-08,1309,台達化,12.25,12.3,12.1,12.15,3339465,TWSE,2025-06-07 13:27:49
2025-05-08,1310,台苯,9.28,9.32,9.22,9.22,2392752,TWSE,2025-06-07 13:27:49
2025-05-08,1312,國喬,11.95,12.0,11.85,12.0,22281698,TWSE,2025-06-07 13:27:49
2025-05-08,1313,聯成,8.68,8.68,8.54,8.56,14585157,TWSE,2025-06-07 13:27:49
