日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-05-13,1101,台泥,31.3,31.4,30.9,31.1,320101081,TWSE,2025-06-07 13:27:30
2025-05-13,1102,亞泥,45.1,45.45,44.9,45.25,296084205,TWSE,2025-06-07 13:27:30
2025-05-13,1103,嘉泥,15.75,15.85,15.65,15.8,4401886,TWSE,2025-06-07 13:27:30
2025-05-13,1104,環泥,29.7,29.7,29.1,29.15,12160120,TWSE,2025-06-07 13:27:30
2025-05-13,1108,幸福,15.25,15.25,15.1,15.15,5023462,TWSE,2025-06-07 13:27:30
2025-05-13,1109,信大,17.3,17.3,17.05,17.15,4904192,TWSE,2025-06-07 13:27:30
2025-05-13,1110,東泥,19.5,19.7,18.85,19.4,6102761,TWSE,2025-06-07 13:27:30
2025-05-13,1201,味全,17.05,17.1,16.85,16.85,6196552,TWSE,2025-06-07 13:27:30
2025-05-13,1203,味王,40.3,40.45,39.7,39.75,1333831,TWSE,2025-06-07 13:27:30
2025-05-13,1210,大成,61.9,62.1,60.3,60.9,371935489,TWSE,2025-06-07 13:27:30
2025-05-13,1213,大飲,14.0,14.3,13.9,14.3,1768726,TWSE,2025-06-07 13:27:30
2025-05-13,1215,卜蜂,109.0,109.5,108.0,109.5,77808019,TWSE,2025-06-07 13:27:30
2025-05-13,1216,統一,79.8,80.0,78.4,78.7,1038826585,TWSE,2025-06-07 13:27:30
2025-05-13,1217,愛之味,11.25,11.3,11.2,11.2,11736236,TWSE,2025-06-07 13:27:30
2025-05-13,1218,泰山,21.9,21.9,21.25,21.25,53802794,TWSE,2025-06-07 13:27:30
2025-05-13,1219,福壽,15.9,15.9,15.4,15.45,22805601,TWSE,2025-06-07 13:27:30
2025-05-13,1220,台榮,15.25,15.25,14.95,15.0,5878383,TWSE,2025-06-07 13:27:30
2025-05-13,1227,佳格,37.2,37.2,36.3,36.3,53082943,TWSE,2025-06-07 13:27:30
2025-05-13,1229,聯華,46.1,46.3,45.75,45.9,48778315,TWSE,2025-06-07 13:27:30
2025-05-13,1231,聯華食,138.5,140.5,138.0,138.5,33559728,TWSE,2025-06-07 13:27:30
2025-05-13,1232,大統益,163.0,163.5,162.0,162.0,31211045,TWSE,2025-06-07 13:27:30
2025-05-13,1233,天仁,32.85,33.15,32.55,32.55,1615097,TWSE,2025-06-07 13:27:30
2025-05-13,1234,黑松,41.35,41.45,40.95,41.05,10628419,TWSE,2025-06-07 13:27:30
2025-05-13,1235,興泰,100.5,102.5,100.5,100.5,524488,TWSE,2025-06-07 13:27:30
2025-05-13,1256,鮮活果汁-KY,123.5,123.5,121.0,121.0,3620280,TWSE,2025-06-07 13:27:30
2025-05-13,1301,台塑,37.1,37.1,35.8,36.0,565714541,TWSE,2025-06-07 13:27:30
2025-05-13,1303,南亞,31.65,31.75,31.0,31.3,305005316,TWSE,2025-06-07 13:27:30
2025-05-13,1304,台聚,10.65,10.7,10.4,10.5,18738253,TWSE,2025-06-07 13:27:30
2025-05-13,1305,華夏,11.75,11.75,11.45,11.5,5517548,TWSE,2025-06-07 13:27:30
2025-05-13,1307,三芳,40.4,40.55,39.35,39.35,115029045,TWSE,2025-06-07 13:27:30
2025-05-13,1308,亞聚,12.75,12.9,12.55,12.6,9622948,TWSE,2025-06-07 13:27:30
2025-05-13,1309,台達化,12.45,12.45,12.2,12.3,5797885,TWSE,2025-06-07 13:27:30
2025-05-13,1310,台苯,9.27,9.3,9.07,9.13,5505530,TWSE,2025-06-07 13:27:30
2025-05-13,1312,國喬,12.1,12.1,11.45,11.45,275805910,TWSE,2025-06-07 13:27:30
2025-05-13,1313,聯成,8.75,8.75,8.49,8.52,13459132,TWSE,2025-06-07 13:27:30
2025-05-13,1314,中石化,7.67,7.72,7.49,7.51,70830384,TWSE,2025-06-07 13:27:30
2025-05-13,1315,達新,66.0,66.2,66.0,66.2,447846,TWSE,2025-06-07 13:27:30
2025-05-13,1316,上曜,16.35,16.55,16.1,16.25,160405737,TWSE,2025-06-07 13:27:30
2025-05-13,1319,東陽,127.0,131.0,126.0,130.0,701862780,TWSE,2025-06-07 13:27:30
2025-05-13,1321,大洋,36.05,36.25,36.0,36.2,3742943,TWSE,2025-06-07 13:27:30
2025-05-13,1323,永裕,20.55,20.6,20.5,20.6,920825,TWSE,2025-06-07 13:27:30
2025-05-13,1324,地球,11.55,11.6,11.5,11.5,408470,TWSE,2025-06-07 13:27:30
2025-05-13,1325,恆大,27.75,28.35,27.55,28.1,13086502,TWSE,2025-06-07 13:27:30
2025-05-13,1326,台化,26.2,26.2,25.65,25.8,215913888,TWSE,2025-06-07 13:27:30
2025-05-13,1337,再生-KY,6.8,6.98,6.5,6.55,7325576,TWSE,2025-06-07 13:27:30
2025-05-13,1338,廣華-KY,24.5,24.5,24.35,24.5,1002711,TWSE,2025-06-07 13:27:30
2025-05-13,1339,昭輝,52.4,53.5,52.1,52.7,2391617,TWSE,2025-06-07 13:27:30
2025-05-13,1340,勝悅-KY,7.42,7.49,7.39,7.4,545891,TWSE,2025-06-07 13:27:30
2025-05-13,1341,富林-KY,65.0,65.2,64.4,65.2,712848,TWSE,2025-06-07 13:27:30
2025-05-13,1342,八貫,95.7,96.2,94.6,95.3,24327225,TWSE,2025-06-07 13:27:30
2025-05-13,1402,遠東新,33.85,34.05,33.25,34.05,238674201,TWSE,2025-06-07 13:27:30
2025-05-13,1409,新纖,13.3,13.3,13.05,13.05,18921870,TWSE,2025-06-07 13:27:30
2025-05-13,1410,南染,36.55,36.9,35.45,36.1,1973785,TWSE,2025-06-07 13:27:30
2025-05-13,1413,宏洲,12.0,12.0,11.8,11.85,767574,TWSE,2025-06-07 13:27:30
2025-05-13,1414,東和,19.75,19.8,19.4,19.55,4127020,TWSE,2025-06-07 13:27:30
2025-05-13,1416,廣豐,12.95,12.95,12.7,12.7,2328296,TWSE,2025-06-07 13:27:30
2025-05-13,1417,嘉裕,8.23,8.29,8.12,8.13,950193,TWSE,2025-06-07 13:27:30
2025-05-13,1418,東華,22.1,22.2,22.1,22.2,44978,TWSE,2025-06-07 13:27:30
2025-05-13,1419,新紡,43.05,43.2,43.0,43.0,1881324,TWSE,2025-06-07 13:27:30
2025-05-13,1423,利華,34.6,35.25,34.5,35.25,453484,TWSE,2025-06-07 13:27:30
2025-05-13,1432,大魯閣,17.35,17.35,17.05,17.05,1389500,TWSE,2025-06-07 13:27:30
2025-05-13,1434,福懋,17.35,17.45,17.1,17.25,13913576,TWSE,2025-06-07 13:27:30
2025-05-13,1435,中福,35.1,35.1,34.0,34.0,104648,TWSE,2025-06-07 13:27:30
2025-05-13,1436,華友聯,123.0,125.0,123.0,123.5,29744742,TWSE,2025-06-07 13:27:30
2025-05-13,1437,勤益控,32.75,32.75,32.4,32.65,1544702,TWSE,2025-06-07 13:27:30
2025-05-13,1438,三地開發,47.25,47.25,45.9,46.35,2051592,TWSE,2025-06-07 13:27:30
2025-05-13,1439,雋揚,31.8,31.8,30.9,31.25,604154,TWSE,2025-06-07 13:27:30
2025-05-13,1440,南紡,14.3,14.3,14.05,14.15,22114343,TWSE,2025-06-07 13:27:30
2025-05-13,1441,大東,12.95,13.0,12.85,12.85,396971,TWSE,2025-06-07 13:27:30
2025-05-13,1442,名軒,73.9,75.7,72.8,72.8,38526232,TWSE,2025-06-07 13:27:30
2025-05-13,1443,立益物流,30.7,30.7,30.7,30.7,108157,TWSE,2025-06-07 13:27:30
2025-05-13,1444,力麗,7.61,7.61,7.48,7.48,6224117,TWSE,2025-06-07 13:27:30
2025-05-13,1445,大宇,14.7,15.0,14.55,14.75,755564,TWSE,2025-06-07 13:27:30
2025-05-13,1446,宏和,27.95,28.0,27.4,27.45,10137393,TWSE,2025-06-07 13:27:30
2025-05-13,1447,力鵬,6.51,6.53,6.43,6.43,5838790,TWSE,2025-06-07 13:27:30
2025-05-13,1449,佳和,14.45,14.55,14.1,14.25,6099878,TWSE,2025-06-07 13:27:30
2025-05-13,1451,年興,20.6,20.65,20.0,20.05,11417280,TWSE,2025-06-07 13:27:30
2025-05-13,1452,宏益,12.75,12.75,12.7,12.7,681984,TWSE,2025-06-07 13:27:30
2025-05-13,1453,大將,15.1,15.25,15.0,15.0,1113738,TWSE,2025-06-07 13:27:30
2025-05-13,1454,台富,14.6,14.6,14.5,14.5,58214,TWSE,2025-06-07 13:27:30
2025-05-13,1455,集盛,9.62,9.66,9.52,9.58,3694066,TWSE,2025-06-07 13:27:30
2025-05-13,1456,怡華,14.15,14.15,13.55,13.55,1406969,TWSE,2025-06-07 13:27:30
2025-05-13,1457,宜進,18.0,18.1,17.8,17.8,1495262,TWSE,2025-06-07 13:27:30
2025-05-13,1459,聯發,11.9,12.0,11.7,12.0,1705625,TWSE,2025-06-07 13:27:30
2025-05-13,1460,宏遠,6.77,6.8,6.66,6.8,5194859,TWSE,2025-06-07 13:27:30
2025-05-13,1463,強盛新,22.75,22.75,22.0,22.05,16644558,TWSE,2025-06-07 13:27:30
2025-05-13,1464,得力,14.1,14.1,13.8,13.85,28704604,TWSE,2025-06-07 13:27:30
2025-05-13,1465,偉全,14.05,14.05,13.75,13.95,2702534,TWSE,2025-06-07 13:27:30
2025-05-13,1466,聚隆,16.0,16.95,15.7,16.65,32457628,TWSE,2025-06-07 13:27:30
2025-05-13,1467,南緯,8.92,8.98,8.88,8.88,2128643,TWSE,2025-06-07 13:27:30
2025-05-13,1468,昶和,14.5,14.5,14.1,14.2,588809,TWSE,2025-06-07 13:27:30
2025-05-13,1470,大統新創,27.1,27.2,25.6,25.75,1389742,TWSE,2025-06-07 13:27:30
2025-05-13,1471,首利,10.45,10.5,10.3,10.35,2732281,TWSE,2025-06-07 13:27:30
2025-05-13,1472,三洋實業,99.9,103.5,99.9,103.0,28140589,TWSE,2025-06-07 13:27:30
2025-05-13,1473,台南,30.3,30.75,30.2,30.2,16067334,TWSE,2025-06-07 13:27:30
2025-05-13,1474,弘裕,13.8,13.85,13.6,13.7,1517075,TWSE,2025-06-07 13:27:30
2025-05-13,1475,業旺,47.15,47.4,44.6,45.0,14049603,TWSE,2025-06-07 13:27:30
2025-05-13,1476,儒鴻,454.0,456.0,439.0,444.5,679379086,TWSE,2025-06-07 13:27:30
2025-05-13,1477,聚陽,285.0,288.0,277.0,278.0,385181301,TWSE,2025-06-07 13:27:30
2025-05-13,1503,士電,167.0,168.0,165.0,165.0,349403218,TWSE,2025-06-07 13:27:30
2025-05-13,1504,東元,51.8,52.9,51.8,52.9,216898792,TWSE,2025-06-07 13:27:30
2025-05-13,1506,正道,12.1,12.25,12.0,12.05,677406,TWSE,2025-06-07 13:27:30
2025-05-13,1512,瑞利,8.5,8.5,8.22,8.35,450760,TWSE,2025-06-07 13:27:30
2025-05-13,1513,中興電,139.0,140.0,137.5,140.0,908800036,TWSE,2025-06-07 13:27:30
2025-05-13,1514,亞力,108.0,108.5,105.5,106.0,488536486,TWSE,2025-06-07 13:27:30
2025-05-13,1515,力山,32.2,32.2,31.5,31.5,6430069,TWSE,2025-06-07 13:27:30
2025-05-13,1516,川飛,18.45,18.7,18.2,18.2,10348865,TWSE,2025-06-07 13:27:30
2025-05-13,1517,利奇,12.0,12.0,11.75,11.8,2075954,TWSE,2025-06-07 13:27:30
2025-05-13,1519,華城,499.0,505.0,475.5,478.5,3099501082,TWSE,2025-06-07 13:27:30
2025-05-13,1521,大億,28.0,28.45,28.0,28.0,1117864,TWSE,2025-06-07 13:27:30
2025-05-13,1522,堤維西,48.1,48.2,47.6,47.8,68445726,TWSE,2025-06-07 13:27:30
2025-05-13,1524,耿鼎,33.5,33.8,32.95,33.0,118307805,TWSE,2025-06-07 13:27:30
2025-05-13,1525,江申,62.1,63.3,62.1,63.3,846600,TWSE,2025-06-07 13:27:30
2025-05-13,1526,日馳,23.6,23.7,22.7,22.8,3865933,TWSE,2025-06-07 13:27:30
2025-05-13,1527,鑽全,38.25,38.25,37.55,37.85,10206420,TWSE,2025-06-07 13:27:30
2025-05-13,1528,恩德,14.0,14.3,13.7,13.85,63256265,TWSE,2025-06-07 13:27:30
2025-05-13,1529,樂事綠能,26.4,26.45,25.45,25.6,28382053,TWSE,2025-06-07 13:27:30
2025-05-13,1530,亞崴,30.3,31.95,30.3,31.4,10284262,TWSE,2025-06-07 13:27:30
2025-05-13,1531,高林股,13.05,13.2,13.0,13.0,957077,TWSE,2025-06-07 13:27:30
2025-05-13,1532,勤美,27.4,27.45,27.1,27.15,21937135,TWSE,2025-06-07 13:27:30
2025-05-13,1533,車王電,31.85,31.85,30.7,30.7,2421062,TWSE,2025-06-07 13:27:30
2025-05-13,1535,中宇,55.7,55.7,55.0,55.3,3199462,TWSE,2025-06-07 13:27:30
2025-05-13,1536,和大,65.0,65.5,62.7,63.9,549340167,TWSE,2025-06-07 13:27:30
2025-05-13,1537,廣隆,145.5,146.0,144.5,145.0,22865202,TWSE,2025-06-07 13:27:30
2025-05-13,1538,正峰,29.5,29.5,28.95,29.0,87450,TWSE,2025-06-07 13:27:30
2025-05-13,1539,巨庭,20.4,20.8,19.9,20.2,2097035,TWSE,2025-06-07 13:27:30
2025-05-13,1540,喬福,33.2,33.2,32.05,32.3,35078637,TWSE,2025-06-07 13:27:30
2025-05-13,1541,錩泰,27.9,27.9,27.1,27.1,1871965,TWSE,2025-06-07 13:27:30
2025-05-13,1558,伸興,99.1,99.9,98.3,98.8,6926427,TWSE,2025-06-07 13:27:30
2025-05-13,1560,中砂,276.5,282.5,268.5,279.5,1664522537,TWSE,2025-06-07 13:27:30
2025-05-13,1563,巧新,63.2,63.7,62.3,62.6,27673738,TWSE,2025-06-07 13:27:30
2025-05-13,1568,倉佑,25.3,25.6,25.2,25.35,3736192,TWSE,2025-06-07 13:27:30
2025-05-13,1582,信錦,78.2,79.4,77.7,77.8,84066645,TWSE,2025-06-07 13:27:30
2025-05-13,1583,程泰,59.8,60.4,59.0,59.8,5379742,TWSE,2025-06-07 13:27:30
2025-05-13,1587,吉茂,31.9,32.15,31.35,31.7,4394783,TWSE,2025-06-07 13:27:30
2025-05-13,1589,永冠-KY,30.25,30.7,30.15,30.2,2542779,TWSE,2025-06-07 13:27:30
2025-05-13,1590,亞德客-KY,948.0,948.0,908.0,921.0,1230150212,TWSE,2025-06-07 13:27:30
