日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-04-17,1101,台泥,29.5,29.65,29.3,29.35,402457650,TWSE,2025-06-07 15:21:08
2025-04-17,1102,亞泥,44.5,45.1,44.15,44.5,235941160,TWSE,2025-06-07 15:21:08
2025-04-17,1103,嘉泥,14.65,14.75,14.55,14.7,2458085,TWSE,2025-06-07 15:21:08
2025-04-17,1104,環泥,27.1,27.35,26.95,27.15,6749845,TWSE,2025-06-07 15:21:08
2025-04-17,1108,幸福,13.65,13.8,13.65,13.8,982825,TWSE,2025-06-07 15:21:08
2025-04-17,1109,信大,16.9,16.9,16.65,16.75,1147226,TWSE,2025-06-07 15:21:08
2025-04-17,1110,東泥,17.65,17.9,17.6,17.65,2876099,TWSE,2025-06-07 15:21:08
2025-04-17,1201,味全,16.3,16.3,16.15,16.25,3490976,TWSE,2025-06-07 15:21:08
2025-04-17,1203,味王,38.5,39.0,38.5,39.0,1742994,TWSE,2025-06-07 15:21:08
2025-04-17,1210,大成,58.0,58.7,57.6,58.4,173522852,TWSE,2025-06-07 15:21:08
2025-04-17,1213,大飲,12.7,12.8,12.35,12.35,62986,TWSE,2025-06-07 15:21:08
2025-04-17,1215,卜蜂,96.7,97.4,96.3,97.2,10432639,TWSE,2025-06-07 15:21:08
2025-04-17,1216,統一,76.0,76.4,75.0,75.6,1102725241,TWSE,2025-06-07 15:21:08
2025-04-17,1217,愛之味,11.35,11.4,11.3,11.35,8331202,TWSE,2025-06-07 15:21:08
2025-04-17,1218,泰山,19.45,19.7,19.3,19.65,14662087,TWSE,2025-06-07 15:21:08
2025-04-17,1219,福壽,13.6,13.6,13.5,13.6,1371166,TWSE,2025-06-07 15:21:08
2025-04-17,1220,台榮,13.5,13.65,13.45,13.6,2471987,TWSE,2025-06-07 15:21:08
2025-04-17,1227,佳格,33.5,33.65,33.15,33.5,8536320,TWSE,2025-06-07 15:21:08
2025-04-17,1229,聯華,45.1,45.1,44.6,45.1,27035733,TWSE,2025-06-07 15:21:08
2025-04-17,1231,聯華食,128.5,130.5,128.5,130.5,22416520,TWSE,2025-06-07 15:21:08
2025-04-17,1232,大統益,149.5,151.5,149.5,151.5,5016190,TWSE,2025-06-07 15:21:08
2025-04-17,1233,天仁,34.65,34.65,34.0,34.0,549762,TWSE,2025-06-07 15:21:08
2025-04-17,1234,黑松,39.45,39.5,39.2,39.35,3581309,TWSE,2025-06-07 15:21:08
2025-04-17,1235,興泰,100.5,105.5,100.0,100.5,552010,TWSE,2025-06-07 15:21:08
2025-04-17,1236,宏亞,20.8,20.8,20.65,20.75,216453,TWSE,2025-06-07 15:21:08
2025-04-17,1256,鮮活果汁-KY,120.5,121.0,118.0,121.0,2393676,TWSE,2025-06-07 15:21:08
2025-04-17,1301,台塑,35.9,36.0,35.05,35.5,361814048,TWSE,2025-06-07 15:21:08
2025-04-17,1303,南亞,31.35,31.35,30.65,30.75,176815505,TWSE,2025-06-07 15:21:08
2025-04-17,1304,台聚,10.15,10.25,10.0,10.1,11657219,TWSE,2025-06-07 15:21:08
2025-04-17,1305,華夏,11.2,11.3,11.05,11.25,4421616,TWSE,2025-06-07 15:21:08
2025-04-17,1307,三芳,35.1,35.1,34.05,34.4,73568246,TWSE,2025-06-07 15:21:08
2025-04-17,1308,亞聚,13.1,13.15,12.8,13.0,4271064,TWSE,2025-06-07 15:21:08
2025-04-17,1309,台達化,11.35,11.5,11.25,11.4,5145163,TWSE,2025-06-07 15:21:08
2025-04-17,1310,台苯,8.85,8.96,8.81,8.92,3788247,TWSE,2025-06-07 15:21:08
2025-04-17,1312,國喬,10.5,10.85,10.45,10.7,34860941,TWSE,2025-06-07 15:21:08
2025-04-17,1313,聯成,8.18,8.24,8.08,8.15,8201469,TWSE,2025-06-07 15:21:08
2025-04-17,1314,中石化,6.96,6.99,6.85,6.95,29866127,TWSE,2025-06-07 15:21:08
2025-04-17,1315,達新,65.9,65.9,65.0,65.0,526672,TWSE,2025-06-07 15:21:08
2025-04-17,1316,上曜,15.65,15.7,15.0,15.15,215548539,TWSE,2025-06-07 15:21:08
2025-04-17,1319,東陽,130.0,135.0,128.5,128.5,1498699210,TWSE,2025-06-07 15:21:08
2025-04-17,1321,大洋,33.6,33.9,33.45,33.85,3037497,TWSE,2025-06-07 15:21:08
2025-04-17,1323,永裕,20.8,20.8,20.4,20.45,204963,TWSE,2025-06-07 15:21:08
2025-04-17,1324,地球,11.35,11.5,11.25,11.25,717702,TWSE,2025-06-07 15:21:08
2025-04-17,1325,恆大,24.0,24.0,23.5,23.7,6382016,TWSE,2025-06-07 15:21:08
2025-04-17,1326,台化,25.35,25.7,25.1,25.5,146720190,TWSE,2025-06-07 15:21:08
2025-04-17,1337,再生-KY,5.54,5.68,5.43,5.6,1362047,TWSE,2025-06-07 15:21:08
2025-04-17,1338,廣華-KY,23.85,24.3,23.5,23.95,1363781,TWSE,2025-06-07 15:21:08
2025-04-17,1339,昭輝,52.8,52.8,51.2,51.6,1216822,TWSE,2025-06-07 15:21:08
2025-04-17,1340,勝悅-KY,7.26,7.33,7.26,7.31,252858,TWSE,2025-06-07 15:21:08
2025-04-17,1341,富林-KY,63.5,63.7,63.5,63.7,699734,TWSE,2025-06-07 15:21:08
2025-04-17,1342,八貫,92.0,92.9,90.0,90.4,52229683,TWSE,2025-06-07 15:21:08
2025-04-17,1402,遠東新,32.55,32.75,32.1,32.15,264404766,TWSE,2025-06-07 15:21:08
2025-04-17,1409,新纖,12.15,12.4,12.05,12.2,8910900,TWSE,2025-06-07 15:21:08
2025-04-17,1410,南染,32.15,32.5,32.1,32.5,392107,TWSE,2025-06-07 15:21:08
2025-04-17,1413,宏洲,11.45,11.6,11.4,11.6,287354,TWSE,2025-06-07 15:21:08
2025-04-17,1414,東和,17.1,17.45,16.8,17.2,8702563,TWSE,2025-06-07 15:21:08
2025-04-17,1416,廣豐,11.85,12.0,11.8,11.95,1419945,TWSE,2025-06-07 15:21:08
2025-04-17,1417,嘉裕,7.75,7.81,7.72,7.81,989771,TWSE,2025-06-07 15:21:08
2025-04-17,1418,東華,22.75,22.75,22.1,22.1,156749,TWSE,2025-06-07 15:21:08
2025-04-17,1419,新紡,40.2,40.5,40.2,40.5,1699481,TWSE,2025-06-07 15:21:08
2025-04-17,1423,利華,32.4,32.4,32.4,32.4,132823,TWSE,2025-06-07 15:21:08
2025-04-17,1432,大魯閣,16.05,16.3,15.9,16.25,1336638,TWSE,2025-06-07 15:21:08
2025-04-17,1434,福懋,16.65,16.65,16.4,16.5,6821975,TWSE,2025-06-07 15:21:08
2025-04-17,1435,中福,31.5,31.5,31.5,31.5,33596,TWSE,2025-06-07 15:21:08
2025-04-17,1436,華友聯,116.5,119.5,116.0,118.5,27995177,TWSE,2025-06-07 15:21:08
2025-04-17,1437,勤益控,30.6,30.7,30.1,30.65,2630351,TWSE,2025-06-07 15:21:08
2025-04-17,1438,三地開發,40.35,41.8,40.0,41.8,2505668,TWSE,2025-06-07 15:21:08
2025-04-17,1439,雋揚,31.45,31.45,31.0,31.0,93450,TWSE,2025-06-07 15:21:08
2025-04-17,1440,南紡,11.85,11.85,11.7,11.7,8259424,TWSE,2025-06-07 15:21:08
2025-04-17,1441,大東,11.85,12.05,11.85,11.9,80506,TWSE,2025-06-07 15:21:08
2025-04-17,1442,名軒,78.5,80.0,78.0,78.0,25910032,TWSE,2025-06-07 15:21:08
2025-04-17,1443,立益物流,29.2,29.2,27.8,27.8,842507,TWSE,2025-06-07 15:21:08
2025-04-17,1444,力麗,7.51,7.52,7.41,7.47,2913022,TWSE,2025-06-07 15:21:08
2025-04-17,1445,大宇,14.1,14.35,14.1,14.2,319137,TWSE,2025-06-07 15:21:08
2025-04-17,1446,宏和,26.35,26.35,25.7,26.15,8363844,TWSE,2025-06-07 15:21:08
2025-04-17,1447,力鵬,6.3,6.3,6.15,6.25,3240700,TWSE,2025-06-07 15:21:08
2025-04-17,1449,佳和,13.5,13.5,13.05,13.2,5764801,TWSE,2025-06-07 15:21:08
2025-04-17,1451,年興,17.75,18.15,17.65,18.1,7278121,TWSE,2025-06-07 15:21:08
2025-04-17,1452,宏益,12.6,12.75,12.4,12.45,997483,TWSE,2025-06-07 15:21:08
2025-04-17,1453,大將,13.55,13.7,13.45,13.7,1683724,TWSE,2025-06-07 15:21:08
2025-04-17,1454,台富,14.4,14.45,14.3,14.3,542415,TWSE,2025-06-07 15:21:08
2025-04-17,1455,集盛,9.15,9.3,9.0,9.22,5691673,TWSE,2025-06-07 15:21:08
2025-04-17,1456,怡華,13.45,13.45,12.75,13.0,614291,TWSE,2025-06-07 15:21:08
2025-04-17,1457,宜進,17.0,17.1,16.9,17.0,2358243,TWSE,2025-06-07 15:21:08
2025-04-17,1459,聯發,10.9,11.05,10.85,11.0,1046829,TWSE,2025-06-07 15:21:08
2025-04-17,1460,宏遠,6.85,6.86,6.75,6.8,2086289,TWSE,2025-06-07 15:21:08
2025-04-17,1463,強盛新,20.7,20.7,20.2,20.65,8488834,TWSE,2025-06-07 15:21:08
2025-04-17,1464,得力,14.3,14.4,14.1,14.25,14281581,TWSE,2025-06-07 15:21:08
2025-04-17,1465,偉全,14.3,14.5,13.85,14.2,1699287,TWSE,2025-06-07 15:21:08
2025-04-17,1466,聚隆,13.3,13.5,12.8,13.2,6728703,TWSE,2025-06-07 15:21:08
2025-04-17,1467,南緯,8.88,8.89,8.79,8.79,1230729,TWSE,2025-06-07 15:21:08
2025-04-17,1468,昶和,13.2,13.3,13.0,13.15,419450,TWSE,2025-06-07 15:21:08
2025-04-17,1470,大統新創,23.4,23.95,23.4,23.45,315966,TWSE,2025-06-07 15:21:08
2025-04-17,1471,首利,9.73,10.1,9.73,10.05,1064884,TWSE,2025-06-07 15:21:08
2025-04-17,1472,三洋實業,101.5,105.0,100.5,101.5,44039229,TWSE,2025-06-07 15:21:08
2025-04-17,1473,台南,28.15,28.35,27.95,28.15,4069491,TWSE,2025-06-07 15:21:08
2025-04-17,1474,弘裕,12.15,12.25,12.0,12.15,854635,TWSE,2025-06-07 15:21:08
2025-04-17,1475,業旺,40.0,40.7,39.75,40.6,1248701,TWSE,2025-06-07 15:21:08
2025-04-17,1476,儒鴻,392.5,392.5,379.5,384.0,302112382,TWSE,2025-06-07 15:21:08
2025-04-17,1477,聚陽,269.5,277.0,265.5,268.0,442218696,TWSE,2025-06-07 15:21:08
2025-04-17,1503,士電,139.0,142.5,137.5,142.5,162788461,TWSE,2025-06-07 15:21:08
2025-04-17,1504,東元,49.6,50.3,49.05,49.9,288034995,TWSE,2025-06-07 15:21:08
2025-04-17,1506,正道,12.3,12.3,12.0,12.2,1468863,TWSE,2025-06-07 15:21:08
2025-04-17,1512,瑞利,6.17,6.31,6.15,6.23,179922,TWSE,2025-06-07 15:21:08
2025-04-17,1513,中興電,126.0,126.5,122.5,125.5,505475896,TWSE,2025-06-07 15:21:08
2025-04-17,1514,亞力,92.3,92.6,89.5,91.0,232297309,TWSE,2025-06-07 15:21:08
2025-04-17,1515,力山,33.0,33.3,31.0,31.8,73563145,TWSE,2025-06-07 15:21:08
2025-04-17,1516,川飛,14.1,14.55,14.1,14.15,404729,TWSE,2025-06-07 15:21:08
2025-04-17,1517,利奇,11.05,11.1,10.75,11.05,1358283,TWSE,2025-06-07 15:21:08
2025-04-17,1519,華城,390.5,398.0,382.5,396.0,1822059020,TWSE,2025-06-07 15:21:08
2025-04-17,1521,大億,25.85,26.2,25.6,26.1,572457,TWSE,2025-06-07 15:21:08
2025-04-17,1522,堤維西,47.5,48.8,47.5,47.85,66782788,TWSE,2025-06-07 15:21:08
2025-04-17,1524,耿鼎,34.3,34.65,33.3,33.5,229817221,TWSE,2025-06-07 15:21:08
2025-04-17,1525,江申,60.9,61.6,60.4,61.3,1538469,TWSE,2025-06-07 15:21:08
2025-04-17,1526,日馳,18.55,18.8,18.35,18.6,582333,TWSE,2025-06-07 15:21:08
2025-04-17,1527,鑽全,35.85,36.0,35.4,35.7,5541117,TWSE,2025-06-07 15:21:08
2025-04-17,1528,恩德,12.2,12.25,11.95,12.15,13803815,TWSE,2025-06-07 15:21:08
