日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-03-28,1101,台泥,33.0,33.2,32.7,32.85,465442995,TWSE,2025-06-07 15:21:29
2025-03-28,1102,亞泥,47.05,47.05,46.5,47.0,388900470,TWSE,2025-06-07 15:21:29
2025-03-28,1103,嘉泥,16.35,16.35,15.95,16.1,12201490,TWSE,2025-06-07 15:21:29
2025-03-28,1104,環泥,30.0,30.0,29.5,29.8,10505332,TWSE,2025-06-07 15:21:29
2025-03-28,1108,幸福,14.95,15.0,14.8,14.8,6286299,TWSE,2025-06-07 15:21:29
2025-03-28,1109,信大,17.75,17.8,17.55,17.65,5600521,TWSE,2025-06-07 15:21:29
2025-03-28,1110,東泥,18.25,18.4,17.85,18.0,8436182,TWSE,2025-06-07 15:21:29
2025-03-28,1201,味全,17.8,17.8,17.7,17.7,8476304,TWSE,2025-06-07 15:21:29
2025-03-28,1203,味王,38.15,38.35,38.15,38.3,1281348,TWSE,2025-06-07 15:21:29
2025-03-28,1210,大成,58.2,58.3,57.6,58.2,75216959,TWSE,2025-06-07 15:21:29
2025-03-28,1213,大飲,13.9,14.15,13.7,14.0,2607854,TWSE,2025-06-07 15:21:29
2025-03-28,1215,卜蜂,101.0,101.5,98.0,100.5,50045719,TWSE,2025-06-07 15:21:29
2025-03-28,1216,統一,82.6,82.7,81.9,82.3,529084037,TWSE,2025-06-07 15:21:29
2025-03-28,1217,愛之味,11.95,11.95,11.8,11.9,10330852,TWSE,2025-06-07 15:21:29
2025-03-28,1218,泰山,21.0,21.0,20.65,20.75,19250625,TWSE,2025-06-07 15:21:29
2025-03-28,1219,福壽,15.0,15.0,14.75,14.8,4729526,TWSE,2025-06-07 15:21:29
2025-03-28,1220,台榮,15.6,15.6,14.95,15.0,13746027,TWSE,2025-06-07 15:21:29
2025-03-28,1225,福懋油,36.6,36.7,35.5,35.7,32931280,TWSE,2025-06-07 15:21:29
2025-03-28,1227,佳格,35.8,35.8,35.1,35.2,16386460,TWSE,2025-06-07 15:21:29
2025-03-28,1229,聯華,51.0,51.0,50.0,50.1,73729453,TWSE,2025-06-07 15:21:29
2025-03-28,1231,聯華食,134.0,134.5,130.5,131.0,50336575,TWSE,2025-06-07 15:21:29
2025-03-28,1232,大統益,152.5,152.5,151.5,151.5,5277570,TWSE,2025-06-07 15:21:29
2025-03-28,1233,天仁,35.05,35.05,34.8,34.8,1431812,TWSE,2025-06-07 15:21:29
2025-03-28,1234,黑松,40.6,40.65,40.5,40.5,6175629,TWSE,2025-06-07 15:21:29
2025-03-28,1235,興泰,103.0,103.5,99.5,101.0,2390771,TWSE,2025-06-07 15:21:29
2025-03-28,1236,宏亞,22.85,22.9,22.8,22.9,320540,TWSE,2025-06-07 15:21:29
2025-03-28,1256,鮮活果汁-KY,137.0,140.5,137.0,137.0,2319491,TWSE,2025-06-07 15:21:29
2025-03-28,1301,台塑,38.7,38.75,37.4,37.5,906537263,TWSE,2025-06-07 15:21:29
2025-03-28,1303,南亞,31.9,32.1,30.9,31.0,514973368,TWSE,2025-06-07 15:21:29
2025-03-28,1304,台聚,11.45,11.45,11.05,11.15,28884790,TWSE,2025-06-07 15:21:29
2025-03-28,1305,華夏,12.7,12.7,12.35,12.4,11372927,TWSE,2025-06-07 15:21:29
2025-03-28,1307,三芳,44.95,45.05,44.2,44.85,44875023,TWSE,2025-06-07 15:21:29
2025-03-28,1308,亞聚,14.3,14.3,13.65,13.8,14624348,TWSE,2025-06-07 15:21:29
2025-03-28,1309,台達化,13.85,13.9,13.45,13.5,19724636,TWSE,2025-06-07 15:21:29
2025-03-28,1310,台苯,10.2,10.2,9.95,9.99,10160248,TWSE,2025-06-07 15:21:29
2025-03-28,1312,國喬,11.05,11.05,10.7,10.85,34325684,TWSE,2025-06-07 15:21:29
2025-03-28,1313,聯成,9.4,9.4,9.2,9.23,19189516,TWSE,2025-06-07 15:21:29
2025-03-28,1314,中石化,7.85,7.85,7.64,7.67,95562174,TWSE,2025-06-07 15:21:29
2025-03-28,1315,達新,69.9,70.1,69.3,70.1,1290546,TWSE,2025-06-07 15:21:29
2025-03-28,1316,上曜,18.35,19.8,17.9,19.45,1701402258,TWSE,2025-06-07 15:21:29
2025-03-28,1319,東陽,135.0,136.5,133.5,134.0,402455840,TWSE,2025-06-07 15:21:29
2025-03-28,1321,大洋,37.35,37.5,37.0,37.4,7640579,TWSE,2025-06-07 15:21:29
2025-03-28,1323,永裕,23.25,23.25,23.15,23.2,885539,TWSE,2025-06-07 15:21:29
2025-03-28,1324,地球,12.35,12.35,11.8,12.05,2720390,TWSE,2025-06-07 15:21:29
2025-03-28,1325,恆大,28.2,28.2,27.25,27.5,15159277,TWSE,2025-06-07 15:21:29
2025-03-28,1326,台化,27.9,27.9,26.75,26.9,530183832,TWSE,2025-06-07 15:21:29
2025-03-28,1337,再生-KY,6.39,6.51,6.26,6.29,2506428,TWSE,2025-06-07 15:21:29
2025-03-28,1338,廣華-KY,29.5,29.5,28.9,29.0,1350810,TWSE,2025-06-07 15:21:29
2025-03-28,1339,昭輝,57.5,57.5,56.2,56.5,1821309,TWSE,2025-06-07 15:21:29
2025-03-28,1340,勝悅-KY,8.45,8.47,8.35,8.47,418854,TWSE,2025-06-07 15:21:29
2025-03-28,1341,富林-KY,68.0,68.1,67.1,67.3,2359095,TWSE,2025-06-07 15:21:29
2025-03-28,1342,八貫,98.2,98.2,94.8,97.0,42297552,TWSE,2025-06-07 15:21:29
2025-03-28,1402,遠東新,34.05,34.1,33.6,33.75,145055336,TWSE,2025-06-07 15:21:29
2025-03-28,1409,新纖,14.5,14.5,14.2,14.2,54671283,TWSE,2025-06-07 15:21:29
2025-03-28,1410,南染,35.6,36.1,35.3,35.3,1560650,TWSE,2025-06-07 15:21:29
2025-03-28,1413,宏洲,12.2,12.4,12.2,12.3,2937539,TWSE,2025-06-07 15:21:29
2025-03-28,1414,東和,22.15,22.2,21.8,22.05,8818001,TWSE,2025-06-07 15:21:29
2025-03-28,1416,廣豐,12.8,12.85,12.6,12.85,8253272,TWSE,2025-06-07 15:21:29
2025-03-28,1417,嘉裕,9.31,9.42,9.14,9.21,1748304,TWSE,2025-06-07 15:21:29
2025-03-28,1418,東華,26.45,26.5,26.2,26.25,364551,TWSE,2025-06-07 15:21:29
2025-03-28,1419,新紡,44.6,44.6,41.9,43.1,4237448,TWSE,2025-06-07 15:21:29
2025-03-28,1423,利華,36.55,37.1,36.55,36.85,270185,TWSE,2025-06-07 15:21:29
2025-03-28,1432,大魯閣,18.5,18.5,17.5,17.9,12037791,TWSE,2025-06-07 15:21:29
2025-03-28,1434,福懋,18.8,18.8,18.45,18.45,34085516,TWSE,2025-06-07 15:21:29
2025-03-28,1435,中福,42.5,43.0,42.4,42.4,692537,TWSE,2025-06-07 15:21:29
2025-03-28,1436,華友聯,134.0,135.0,128.0,130.0,142625637,TWSE,2025-06-07 15:21:29
2025-03-28,1437,勤益控,34.3,34.4,34.0,34.15,7262911,TWSE,2025-06-07 15:21:29
2025-03-28,1438,三地開發,46.55,46.7,44.9,45.35,10867113,TWSE,2025-06-07 15:21:29
2025-03-28,1439,雋揚,32.35,32.35,31.1,31.6,1278287,TWSE,2025-06-07 15:21:29
2025-03-28,1440,南紡,14.15,14.2,13.9,14.0,15476828,TWSE,2025-06-07 15:21:29
2025-03-28,1441,大東,13.5,13.5,13.2,13.2,184437,TWSE,2025-06-07 15:21:29
2025-03-28,1442,名軒,79.0,82.0,77.8,82.0,124614823,TWSE,2025-06-07 15:21:29
2025-03-28,1443,立益物流,30.15,30.5,30.05,30.15,888578,TWSE,2025-06-07 15:21:29
2025-03-28,1444,力麗,8.24,8.24,8.08,8.1,7242344,TWSE,2025-06-07 15:21:29
2025-03-28,1445,大宇,16.65,16.65,16.2,16.2,1854207,TWSE,2025-06-07 15:21:29
2025-03-28,1446,宏和,34.05,34.05,31.95,32.2,51133533,TWSE,2025-06-07 15:21:29
2025-03-28,1447,力鵬,7.23,7.23,7.02,7.1,6842561,TWSE,2025-06-07 15:21:29
2025-03-28,1449,佳和,17.2,17.2,16.65,17.0,16355081,TWSE,2025-06-07 15:21:29
2025-03-28,1451,年興,21.9,22.0,21.7,21.8,18472361,TWSE,2025-06-07 15:21:29
2025-03-28,1452,宏益,14.95,15.05,14.75,14.8,1891730,TWSE,2025-06-07 15:21:29
2025-03-28,1453,大將,17.45,17.45,16.65,17.0,3328795,TWSE,2025-06-07 15:21:29
2025-03-28,1454,台富,17.35,17.45,16.8,16.8,1175854,TWSE,2025-06-07 15:21:29
2025-03-28,1455,集盛,9.69,9.69,9.44,9.44,6030927,TWSE,2025-06-07 15:21:29
2025-03-28,1456,怡華,16.0,16.0,15.45,15.45,1398323,TWSE,2025-06-07 15:21:29
2025-03-28,1457,宜進,20.05,20.25,19.85,20.0,9178174,TWSE,2025-06-07 15:21:29
2025-03-28,1459,聯發,12.6,12.75,12.3,12.7,18043169,TWSE,2025-06-07 15:21:29
2025-03-28,1460,宏遠,7.6,7.6,7.31,7.55,6879112,TWSE,2025-06-07 15:21:29
2025-03-28,1463,強盛新,28.3,28.3,26.65,27.25,40870363,TWSE,2025-06-07 15:21:29
2025-03-28,1464,得力,18.95,18.95,17.8,17.95,73215023,TWSE,2025-06-07 15:21:29
2025-03-28,1465,偉全,14.65,14.7,14.3,14.6,1740256,TWSE,2025-06-07 15:21:29
2025-03-28,1466,聚隆,16.95,17.55,16.45,16.85,34223377,TWSE,2025-06-07 15:21:29
2025-03-28,1467,南緯,10.35,10.35,9.99,10.0,3950480,TWSE,2025-06-07 15:21:29
2025-03-28,1468,昶和,14.15,14.3,13.7,13.9,851450,TWSE,2025-06-07 15:21:29
2025-03-28,1470,大統新創,22.7,22.7,22.1,22.25,297284,TWSE,2025-06-07 15:21:29
2025-03-28,1471,首利,11.8,11.8,11.05,11.15,7354982,TWSE,2025-06-07 15:21:29
2025-03-28,1472,三洋實業,100.0,101.5,98.1,99.8,13903847,TWSE,2025-06-07 15:21:29
2025-03-28,1473,台南,37.55,37.95,37.0,37.1,12213197,TWSE,2025-06-07 15:21:29
2025-03-28,1474,弘裕,13.75,14.0,13.7,13.85,5074081,TWSE,2025-06-07 15:21:29
2025-03-28,1475,業旺,58.0,58.0,56.6,56.9,5404266,TWSE,2025-06-07 15:21:29
2025-03-28,1476,儒鴻,488.0,492.0,484.0,484.5,349554525,TWSE,2025-06-07 15:21:29
2025-03-28,1477,聚陽,322.0,323.0,316.5,323.0,443220615,TWSE,2025-06-07 15:21:29
2025-03-28,1503,士電,170.5,172.0,161.5,162.5,465592848,TWSE,2025-06-07 15:21:29
2025-03-28,1504,東元,50.5,50.8,49.75,50.1,238806546,TWSE,2025-06-07 15:21:29
2025-03-28,1506,正道,12.95,14.15,12.9,14.0,20991988,TWSE,2025-06-07 15:21:29
2025-03-28,1512,瑞利,6.99,6.99,6.99,6.99,25932,TWSE,2025-06-07 15:21:29
2025-03-28,1513,中興電,149.5,150.5,144.0,145.5,1163191938,TWSE,2025-06-07 15:21:29
2025-03-28,1514,亞力,113.5,115.0,111.0,111.5,642744306,TWSE,2025-06-07 15:21:29
2025-03-28,1515,力山,34.6,34.6,33.75,33.75,12857546,TWSE,2025-06-07 15:21:29
2025-03-28,1516,川飛,15.65,15.65,14.8,15.15,1927808,TWSE,2025-06-07 15:21:29
2025-03-28,1517,利奇,14.25,14.25,13.75,13.85,2358113,TWSE,2025-06-07 15:21:29
2025-03-28,1519,華城,520.0,521.0,498.5,499.0,1933757612,TWSE,2025-06-07 15:21:29
2025-03-28,1521,大億,28.2,28.5,28.0,28.5,2354169,TWSE,2025-06-07 15:21:29
2025-03-28,1522,堤維西,56.0,56.4,55.2,56.1,94607287,TWSE,2025-06-07 15:21:29
2025-03-28,1524,耿鼎,41.65,42.25,41.2,42.05,259124410,TWSE,2025-06-07 15:21:29
2025-03-28,1525,江申,63.0,63.0,62.3,62.4,2264478,TWSE,2025-06-07 15:21:29
2025-03-28,1526,日馳,24.85,25.0,24.35,24.55,1291787,TWSE,2025-06-07 15:21:29
2025-03-28,1527,鑽全,41.8,41.8,40.8,41.0,24483536,TWSE,2025-06-07 15:21:29
2025-03-28,1528,恩德,16.2,16.25,15.7,16.1,41219463,TWSE,2025-06-07 15:21:29
2025-03-28,1529,樂事綠能,27.3,27.35,26.2,26.75,46994464,TWSE,2025-06-07 15:21:29
2025-03-28,1530,亞崴,31.6,32.2,31.2,31.3,2771938,TWSE,2025-06-07 15:21:29
2025-03-28,1531,高林股,13.75,13.85,13.45,13.6,5201311,TWSE,2025-06-07 15:21:29
2025-03-28,1532,勤美,30.55,30.55,29.85,30.0,50600757,TWSE,2025-06-07 15:21:29
2025-03-28,1533,車王電,38.65,38.65,37.0,37.35,4028950,TWSE,2025-06-07 15:21:29
2025-03-28,1535,中宇,59.5,59.5,58.9,59.3,3269754,TWSE,2025-06-07 15:21:29
2025-03-28,1536,和大,71.8,71.8,68.0,69.5,779816717,TWSE,2025-06-07 15:21:29
2025-03-28,1537,廣隆,154.0,154.0,152.0,152.5,30459884,TWSE,2025-06-07 15:21:29
2025-03-28,1538,正峰,26.8,26.8,26.0,26.0,475062,TWSE,2025-06-07 15:21:29
2025-03-28,1539,巨庭,22.5,22.5,21.5,21.5,33687910,TWSE,2025-06-07 15:21:29
2025-03-28,1540,喬福,35.1,35.25,33.55,33.8,60629999,TWSE,2025-06-07 15:21:29
2025-03-28,1541,錩泰,27.3,27.4,26.7,26.85,1204727,TWSE,2025-06-07 15:21:29
2025-03-28,1558,伸興,109.0,109.0,107.5,107.5,17702481,TWSE,2025-06-07 15:21:29
2025-03-28,1560,中砂,245.0,245.5,236.5,238.5,396052898,TWSE,2025-06-07 15:21:29
2025-03-28,1563,巧新,67.5,67.6,64.3,65.6,76590476,TWSE,2025-06-07 15:21:29
2025-03-28,1568,倉佑,28.15,28.15,27.0,27.45,4285822,TWSE,2025-06-07 15:21:29
2025-03-28,1582,信錦,101.0,101.0,98.3,98.6,97587782,TWSE,2025-06-07 15:21:29
2025-03-28,1583,程泰,61.5,61.6,60.8,61.0,1978292,TWSE,2025-06-07 15:21:29
2025-03-28,1587,吉茂,34.25,34.25,31.2,31.7,23262668,TWSE,2025-06-07 15:21:29
2025-03-28,1589,永冠-KY,38.25,38.25,36.7,37.0,10686171,TWSE,2025-06-07 15:21:29
2025-03-28,1590,亞德客-KY,934.0,934.0,891.0,895.0,630282489,TWSE,2025-06-07 15:21:29
2025-03-28,1597,直得,89.9,89.9,86.0,87.2,75741713,TWSE,2025-06-07 15:21:29
2025-03-28,1598,岱宇,27.0,27.15,26.5,26.8,12593681,TWSE,2025-06-07 15:21:29
2025-03-28,1603,華電,38.5,38.5,36.8,36.8,42626422,TWSE,2025-06-07 15:21:29
2025-03-28,1604,聲寶,28.55,28.55,28.3,28.45,9704555,TWSE,2025-06-07 15:21:29
2025-03-28,1605,華新,25.95,26.1,24.6,24.7,759292461,TWSE,2025-06-07 15:21:29
2025-03-28,1608,華榮,29.15,29.2,27.65,28.25,269720374,TWSE,2025-06-07 15:21:29
2025-03-28,1609,大亞,43.95,44.0,42.1,42.5,576627189,TWSE,2025-06-07 15:21:29
2025-03-28,1611,中電,15.5,15.5,14.9,15.1,15699168,TWSE,2025-06-07 15:21:29
2025-03-28,1612,宏泰,35.35,35.35,34.0,34.4,68920746,TWSE,2025-06-07 15:21:29
2025-03-28,1614,三洋電,40.6,40.6,40.15,40.15,2125620,TWSE,2025-06-07 15:21:29
2025-03-28,1615,大山,61.2,61.3,59.8,59.8,12238605,TWSE,2025-06-07 15:21:29
2025-03-28,1616,億泰,24.8,25.0,23.65,24.1,133660736,TWSE,2025-06-07 15:21:29
2025-03-28,1617,榮星,20.35,21.7,19.7,20.5,348579407,TWSE,2025-06-07 15:21:29
2025-03-28,1618,合機,49.25,49.6,46.25,47.05,326001506,TWSE,2025-06-07 15:21:29
2025-03-28,1626,艾美特-KY,13.75,13.75,13.1,13.2,1098974,TWSE,2025-06-07 15:21:29
2025-03-28,1702,南僑,48.4,48.4,47.75,48.0,42762482,TWSE,2025-06-07 15:21:29
2025-03-28,1707,葡萄王,144.0,144.0,142.0,142.5,37918804,TWSE,2025-06-07 15:21:29
2025-03-28,1708,東鹼,37.5,37.6,36.6,37.05,76851374,TWSE,2025-06-07 15:21:29
2025-03-28,1709,和益,20.0,20.0,19.6,19.75,15971078,TWSE,2025-06-07 15:21:29
