日期,代號,名稱,篩選,篩選
2025-06-16,1109,信大,5日5MA=10MA,5日5MA=10MA
2025-06-16,1216,統一,5日5MA=10MA,5日5MA=10MA
2025-06-16,1227,佳格,5日5MA=10MA,5日5MA=10MA
2025-06-16,1305,華夏,5日5MA=10MA,5日5MA=10MA
2025-06-16,1457,宜進,5日5MA=10MA,5日5MA=10MA
2025-06-16,1467,南緯,5日5MA=10MA,5日5MA=10MA
2025-06-16,1474,弘裕,5日5MA=10MA,5日5MA=10MA
2025-06-16,1563,巧新,5日5MA=10MA,5日5MA=10MA
2025-06-16,1615,大山,5日5MA=10MA,5日5MA=10MA
2025-06-16,1714,和桐,5日5MA=10MA,5日5MA=10MA
2025-06-16,1717,長興,5日5MA=10MA,5日5MA=10MA
2025-06-16,1731,美吾華,5日5MA=10MA,5日5MA=10MA
2025-06-16,1789,神隆,5日5MA=10MA,5日5MA=10MA
2025-06-16,2002,中鋼,5日5MA=10MA,5日5MA=10MA
2025-06-16,2250,IKKA-KY,5日5MA=10MA,5日5MA=10MA
2025-06-16,2433,互盛電,5日5MA=10MA,5日5MA=10MA
2025-06-16,2485,兆赫,5日5MA=10MA,5日5MA=10MA
2025-06-16,2511,太子,5日5MA=10MA,5日5MA=10MA
2025-06-16,2515,中工,5日5MA=10MA,5日5MA=10MA
2025-06-16,2534,宏盛,5日5MA=10MA,5日5MA=10MA
2025-06-16,2645,長榮航太,5日5MA=10MA,5日5MA=10MA
2025-06-16,2855,統一證,5日5MA=10MA,5日5MA=10MA
2025-06-16,2897,王道銀行,5日5MA=10MA,5日5MA=10MA
2025-06-16,2908,特力,5日5MA=10MA,5日5MA=10MA
2025-06-16,2911,麗嬰房,5日5MA=10MA,5日5MA=10MA
2025-06-16,3015,全漢,5日5MA=10MA,5日5MA=10MA
2025-06-16,3023,信邦,5日5MA=10MA,5日5MA=10MA
2025-06-16,3036,文曄,5日5MA=10MA,5日5MA=10MA
2025-06-16,3038,全台,5日5MA=10MA,5日5MA=10MA
2025-06-16,3149,正達,5日5MA=10MA,5日5MA=10MA
2025-06-16,3308,聯德,5日5MA=10MA,5日5MA=10MA
2025-06-16,3669,圓展,5日5MA=10MA,5日5MA=10MA
2025-06-16,3705,永信,5日5MA=10MA,5日5MA=10MA
2025-06-16,4190,佐登-KY,5日5MA=10MA,5日5MA=10MA
2025-06-16,4438,廣越,5日5MA=10MA,5日5MA=10MA
2025-06-16,4526,東台,5日5MA=10MA,5日5MA=10MA
2025-06-16,4930,燦星網,5日5MA=10MA,5日5MA=10MA
2025-06-16,5907,大洋-KY,5日5MA=10MA,5日5MA=10MA
2025-06-16,6115,鎰勝,5日5MA=10MA,5日5MA=10MA
2025-06-16,6184,大豐電,5日5MA=10MA,5日5MA=10MA
2025-06-16,6192,巨路,5日5MA=10MA,5日5MA=10MA
2025-06-16,6887,寶綠特-KY,5日5MA=10MA,5日5MA=10MA
2025-06-16,6906,現觀科,5日5MA=10MA,5日5MA=10MA
2025-06-16,6924,榮惠-KY創,5日5MA=10MA,5日5MA=10MA
2025-06-16,8464,億豐,5日5MA=10MA,5日5MA=10MA
2025-06-16,9105,泰金寶-DR,5日5MA=10MA,5日5MA=10MA
2025-06-16,9911,櫻花,5日5MA=10MA,5日5MA=10MA
2025-06-16,9928,中視,5日5MA=10MA,5日5MA=10MA
2025-06-16,9944,新麗,5日5MA=10MA,5日5MA=10MA
2025-06-16,2421,建準,10MA最大5MA=20MA,10MA最大5MA=20MA
2025-06-16,6201,亞弘電,10MA最大10MA=20MA,10MA最大10MA=20MA
