日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-06-16,1101,台泥,26.9,26.95,26.6,26.8,519157595,TWSE,2025-06-17 09:15:56
2025-06-16,1102,亞泥,42.7,43.1,42.3,42.9,2233449409,TWSE,2025-06-17 09:15:56
2025-06-16,1103,嘉泥,14.45,14.6,14.35,14.55,3319278,TWSE,2025-06-17 09:15:56
2025-06-16,1104,環泥,29.9,30.15,29.8,30.15,10485498,TWSE,2025-06-17 09:15:56
2025-06-16,1108,幸福,14.9,14.9,14.8,14.9,637186,TWSE,2025-06-17 09:15:56
2025-06-16,1109,信大,16.8,17.0,16.8,17.0,2869844,TWSE,2025-06-17 09:15:56
2025-06-16,1110,東泥,19.65,20.1,19.55,20.1,1697900,TWSE,2025-06-17 09:15:56
2025-06-16,1201,味全,15.75,15.8,15.65,15.8,8530168,TWSE,2025-06-17 09:15:56
2025-06-16,1203,味王,38.85,39.3,38.45,39.15,871260,TWSE,2025-06-17 09:15:56
2025-06-16,1210,大成,61.1,62.1,61.1,62.0,79214340,TWSE,2025-06-17 09:15:56
2025-06-16,1213,大飲,13.0,13.0,13.0,13.0,13000,TWSE,2025-06-17 09:15:56
2025-06-16,1215,卜蜂,112.0,113.5,112.0,113.5,59923696,TWSE,2025-06-17 09:15:56
2025-06-16,1216,統一,79.5,80.4,79.4,79.4,1101481322,TWSE,2025-06-17 09:15:56
2025-06-16,1217,愛之味,10.7,10.75,10.65,10.7,2852685,TWSE,2025-06-17 09:15:56
2025-06-16,1218,泰山,21.9,22.4,21.9,22.4,42335452,TWSE,2025-06-17 09:15:56
2025-06-16,1219,福壽,14.5,14.6,14.35,14.5,3710307,TWSE,2025-06-17 09:15:56
2025-06-16,1220,台榮,13.4,13.55,13.4,13.55,979920,TWSE,2025-06-17 09:15:56
2025-06-16,1227,佳格,33.15,33.3,33.0,33.2,12343894,TWSE,2025-06-17 09:15:56
2025-06-16,1229,聯華,44.45,44.5,44.0,44.4,48364294,TWSE,2025-06-17 09:15:56
2025-06-16,1231,聯華食,134.5,138.0,134.0,137.0,33393437,TWSE,2025-06-17 09:15:56
2025-06-16,1232,大統益,151.0,152.0,149.0,149.5,44797625,TWSE,2025-06-17 09:15:56
