日期,代號,名稱,篩選
2025-06-06,3008,大立光,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3010,華立,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3017,奇鋐,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3030,德律,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3036,文曄,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3042,晶技,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3044,健鼎,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3090,日電貿,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3167,大量,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3209,全科,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3338,泰碩,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3380,明泰,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3406,玉晶光,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3413,京鼎,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3550,聯穎,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3592,瑞鼎,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3653,健策,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3701,大眾控,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4164,承業醫,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4562,穎漢,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4722,國精化,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4737,華廣,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4958,臻鼎-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4994,傳奇,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5007,三星,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5203,訊連,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5234,達興材料,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5243,乙盛-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5269,祥碩,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5284,jpp-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5434,崇越,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5522,遠雄,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,5607,遠雄港,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6139,亞翔,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6197,佳必琪,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6239,力成,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6257,矽格,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6472,保瑞,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6504,南六,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6515,穎崴,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6531,愛普*,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6645,金萬林-創,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6668,中揚光,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6672,騰輝電子-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6674,鋐寶科技,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6776,展碁國際,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6782,視陽,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6796,晉弘,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6805,富世達,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6838,台新藥,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6885,全福生技,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6919,康霈*,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6949,沛爾生醫-創,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6951,青新-創,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6955,邦睿生技-創,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6962,奕力-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,7732,金興精密,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8072,陞泰,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8081,致新,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8101,華冠,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8162,微矽電子-創,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8210,勤誠,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8271,宇瞻,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8476,台境*,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8996,高力,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,9912,偉聯,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,9946,三發地產,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,9958,世紀鋼,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1213,大飲,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1445,大宇,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1731,美吾華,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,1737,臺鹽,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2645,長榮航太,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,2904,匯僑,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3057,喬鼎,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,3494,誠研,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,4137,麗豐-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6414,樺漢,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6534,正瀚-創,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6655,科定,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6754,匯僑設計,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,6792,詠業,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8021,尖點,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8462,柏文,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8464,億豐,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
2025-06-06,8488,吉源-KY,多頭排列 | 5日5MA=10MA | 10MA最大交叉 | 10MA最大5MA=20MA | 10MA最大10MA=20MA
