日期,代號,名稱,開盤,最高,最低,收盤,成交金額,資料來源,下載時間
2025-04-23,1101,台泥,28.85,29.3,28.85,29.25,317552709,TWSE,2025-06-07 15:21:02
2025-04-23,1102,亞泥,44.5,44.95,44.15,44.45,244120047,TWSE,2025-06-07 15:21:02
2025-04-23,1103,嘉泥,14.6,14.75,14.6,14.7,2498641,TWSE,2025-06-07 15:21:02
2025-04-23,1104,環泥,27.25,27.5,27.2,27.35,9666411,TWSE,2025-06-07 15:21:02
2025-04-23,1108,幸福,13.6,13.7,13.6,13.65,1037941,TWSE,2025-06-07 15:21:02
2025-04-23,1109,信大,16.45,16.55,16.35,16.35,3771051,TWSE,2025-06-07 15:21:02
2025-04-23,1110,東泥,17.35,17.6,17.35,17.35,10941200,TWSE,2025-06-07 15:21:02
2025-04-23,1201,味全,16.05,16.1,16.0,16.05,4393013,TWSE,2025-06-07 15:21:02
2025-04-23,1203,味王,38.45,38.8,38.45,38.65,798294,TWSE,2025-06-07 15:21:02
2025-04-23,1210,大成,58.8,59.1,58.5,59.0,135643104,TWSE,2025-06-07 15:21:02
2025-04-23,1213,大飲,13.3,13.3,12.85,13.1,439383,TWSE,2025-06-07 15:21:02
2025-04-23,1215,卜蜂,96.4,98.2,96.4,98.2,30225137,TWSE,2025-06-07 15:21:02
2025-04-23,1216,統一,75.4,77.5,75.0,77.5,1321512571,TWSE,2025-06-07 15:21:02
2025-04-23,1217,愛之味,11.5,11.7,11.45,11.7,19328003,TWSE,2025-06-07 15:21:02
2025-04-23,1218,泰山,20.1,20.6,20.1,20.45,25994317,TWSE,2025-06-07 15:21:02
2025-04-23,1219,福壽,13.4,13.6,13.4,13.55,4115337,TWSE,2025-06-07 15:21:02
2025-04-23,1220,台榮,13.65,14.15,13.6,13.85,5651508,TWSE,2025-06-07 15:21:02
2025-04-23,1227,佳格,33.4,34.0,33.4,33.9,20207024,TWSE,2025-06-07 15:21:02
2025-04-23,1229,聯華,43.7,44.3,43.7,44.1,28070955,TWSE,2025-06-07 15:21:02
2025-04-23,1231,聯華食,127.5,130.0,127.5,128.5,39394651,TWSE,2025-06-07 15:21:02
2025-04-23,1232,大統益,151.0,152.5,151.0,151.0,10708219,TWSE,2025-06-07 15:21:02
2025-04-23,1233,天仁,33.7,33.7,33.55,33.55,171245,TWSE,2025-06-07 15:21:02
2025-04-23,1234,黑松,38.9,39.5,38.85,39.05,1855801,TWSE,2025-06-07 15:21:02
2025-04-23,1235,興泰,103.5,103.5,100.0,100.5,535268,TWSE,2025-06-07 15:21:02
2025-04-23,1236,宏亞,20.45,20.85,20.45,20.85,505960,TWSE,2025-06-07 15:21:02
2025-04-23,1256,鮮活果汁-KY,116.0,118.0,116.0,117.5,2900179,TWSE,2025-06-07 15:21:02
2025-04-23,1301,台塑,35.15,35.85,35.1,35.65,348888559,TWSE,2025-06-07 15:21:02
2025-04-23,1303,南亞,30.8,31.55,30.8,31.25,201468587,TWSE,2025-06-07 15:21:02
2025-04-23,1304,台聚,10.2,10.4,10.2,10.25,13617683,TWSE,2025-06-07 15:21:02
2025-04-23,1305,華夏,11.05,11.25,11.05,11.1,5702453,TWSE,2025-06-07 15:21:02
2025-04-23,1307,三芳,35.1,35.4,34.85,34.9,38920448,TWSE,2025-06-07 15:21:02
2025-04-23,1308,亞聚,12.85,13.3,12.85,13.2,7854086,TWSE,2025-06-07 15:21:02
2025-04-23,1309,台達化,11.55,11.85,11.55,11.85,5435056,TWSE,2025-06-07 15:21:02
2025-04-23,1310,台苯,8.85,9.11,8.85,8.99,3140046,TWSE,2025-06-07 15:21:02
2025-04-23,1312,國喬,11.8,12.0,11.6,11.9,85528265,TWSE,2025-06-07 15:21:02
2025-04-23,1313,聯成,8.19,8.27,8.17,8.2,9539682,TWSE,2025-06-07 15:21:02
2025-04-23,1314,中石化,6.97,7.05,6.95,7.0,41787031,TWSE,2025-06-07 15:21:02
2025-04-23,1315,達新,65.0,65.5,65.0,65.5,778198,TWSE,2025-06-07 15:21:02
2025-04-23,1316,上曜,14.85,14.95,14.5,14.5,147004938,TWSE,2025-06-07 15:21:02
2025-04-23,1319,東陽,129.5,130.0,126.0,127.0,787774553,TWSE,2025-06-07 15:21:02
2025-04-23,1321,大洋,33.85,34.5,33.7,34.2,6347769,TWSE,2025-06-07 15:21:02
2025-04-23,1323,永裕,20.6,20.8,20.35,20.75,766235,TWSE,2025-06-07 15:21:02
2025-04-23,1324,地球,11.0,11.05,10.95,10.95,513740,TWSE,2025-06-07 15:21:02
2025-04-23,1325,恆大,23.45,24.1,23.45,23.9,5096718,TWSE,2025-06-07 15:21:02
2025-04-23,1326,台化,25.05,25.4,24.85,25.35,166691717,TWSE,2025-06-07 15:21:02
2025-04-23,1337,再生-KY,5.54,5.85,5.54,5.61,1684549,TWSE,2025-06-07 15:21:02
2025-04-23,1338,廣華-KY,24.25,24.25,23.5,23.85,481139,TWSE,2025-06-07 15:21:02
2025-04-23,1339,昭輝,49.6,51.2,49.6,51.2,2142315,TWSE,2025-06-07 15:21:02
2025-04-23,1340,勝悅-KY,7.1,7.1,6.97,6.97,314105,TWSE,2025-06-07 15:21:02
2025-04-23,1341,富林-KY,63.9,63.9,62.6,63.1,1205095,TWSE,2025-06-07 15:21:02
2025-04-23,1342,八貫,89.9,92.0,89.8,91.2,26896440,TWSE,2025-06-07 15:21:02
2025-04-23,1402,遠東新,31.7,32.15,31.65,31.7,146863922,TWSE,2025-06-07 15:21:02
2025-04-23,1409,新纖,12.2,12.35,12.2,12.25,10381951,TWSE,2025-06-07 15:21:02
2025-04-23,1410,南染,32.4,33.3,32.3,32.9,887860,TWSE,2025-06-07 15:21:02
2025-04-23,1414,東和,17.3,17.95,17.3,17.75,4321105,TWSE,2025-06-07 15:21:02
2025-04-23,1416,廣豐,12.0,12.1,11.9,12.1,954129,TWSE,2025-06-07 15:21:02
2025-04-23,1417,嘉裕,7.81,7.9,7.77,7.86,1431965,TWSE,2025-06-07 15:21:02
2025-04-23,1418,東華,20.75,21.3,20.75,20.8,177013,TWSE,2025-06-07 15:21:02
2025-04-23,1419,新紡,40.7,41.2,40.6,40.8,861615,TWSE,2025-06-07 15:21:02
2025-04-23,1423,利華,32.2,32.8,32.15,32.8,464550,TWSE,2025-06-07 15:21:02
2025-04-23,1432,大魯閣,16.0,16.15,15.95,15.95,1049096,TWSE,2025-06-07 15:21:02
2025-04-23,1434,福懋,16.4,16.8,16.4,16.8,13351759,TWSE,2025-06-07 15:21:02
2025-04-23,1435,中福,32.3,32.3,32.3,32.3,88690,TWSE,2025-06-07 15:21:02
2025-04-23,1436,華友聯,117.0,117.0,115.0,116.5,30106840,TWSE,2025-06-07 15:21:02
2025-04-23,1437,勤益控,30.6,31.05,30.5,31.0,3778016,TWSE,2025-06-07 15:21:02
2025-04-23,1438,三地開發,42.15,42.15,41.25,41.8,2604040,TWSE,2025-06-07 15:21:02
2025-04-23,1439,雋揚,30.2,30.85,30.0,30.8,707984,TWSE,2025-06-07 15:21:02
2025-04-23,1440,南紡,11.6,11.95,11.6,11.8,9373994,TWSE,2025-06-07 15:21:02
2025-04-23,1441,大東,12.0,12.05,11.6,12.05,275663,TWSE,2025-06-07 15:21:02
2025-04-23,1442,名軒,71.0,75.3,70.8,71.7,65577691,TWSE,2025-06-07 15:21:02
2025-04-23,1443,立益物流,28.7,28.7,27.9,27.9,57325,TWSE,2025-06-07 15:21:02
2025-04-23,1444,力麗,7.31,7.42,7.3,7.32,2685342,TWSE,2025-06-07 15:21:02
2025-04-23,1445,大宇,12.95,13.75,12.95,13.55,1083845,TWSE,2025-06-07 15:21:02
2025-04-23,1446,宏和,24.9,25.5,24.9,25.25,5445002,TWSE,2025-06-07 15:21:02
2025-04-23,1447,力鵬,6.16,6.22,6.16,6.2,2117058,TWSE,2025-06-07 15:21:02
2025-04-23,1449,佳和,13.05,13.25,12.9,13.25,7558062,TWSE,2025-06-07 15:21:02
2025-04-23,1451,年興,17.75,18.05,17.75,18.0,2543048,TWSE,2025-06-07 15:21:02
2025-04-23,1452,宏益,12.2,12.5,12.2,12.3,413484,TWSE,2025-06-07 15:21:02
2025-04-23,1453,大將,13.25,13.45,13.1,13.25,749867,TWSE,2025-06-07 15:21:02
2025-04-23,1454,台富,14.55,14.55,14.2,14.2,102474,TWSE,2025-06-07 15:21:02
2025-04-23,1455,集盛,9.26,9.32,9.24,9.26,4066249,TWSE,2025-06-07 15:21:02
2025-04-23,1456,怡華,13.0,13.1,12.8,13.1,285216,TWSE,2025-06-07 15:21:02
2025-04-23,1457,宜進,16.8,16.9,16.75,16.75,1771651,TWSE,2025-06-07 15:21:02
2025-04-23,1459,聯發,10.65,11.0,10.65,10.85,1498078,TWSE,2025-06-07 15:21:02
2025-04-23,1460,宏遠,6.77,6.8,6.75,6.8,1952876,TWSE,2025-06-07 15:21:02
2025-04-23,1463,強盛新,21.1,21.35,20.65,20.65,8883743,TWSE,2025-06-07 15:21:02
2025-04-23,1464,得力,14.0,14.25,13.95,14.1,8642019,TWSE,2025-06-07 15:21:02
2025-04-23,1465,偉全,13.9,14.25,13.9,13.9,1655293,TWSE,2025-06-07 15:21:02
2025-04-23,1466,聚隆,13.75,14.65,13.75,14.65,14789920,TWSE,2025-06-07 15:21:02
2025-04-23,1467,南緯,9.07,9.1,8.99,9.05,1593362,TWSE,2025-06-07 15:21:02
2025-04-23,1468,昶和,13.35,13.5,13.0,13.15,437200,TWSE,2025-06-07 15:21:02
2025-04-23,1470,大統新創,23.5,23.5,23.3,23.35,164150,TWSE,2025-06-07 15:21:02
2025-04-23,1471,首利,9.59,9.68,9.51,9.56,1920974,TWSE,2025-06-07 15:21:02
2025-04-23,1472,三洋實業,104.0,104.0,102.5,102.5,12430020,TWSE,2025-06-07 15:21:02
2025-04-23,1473,台南,27.75,28.2,27.65,28.1,7401680,TWSE,2025-06-07 15:21:02
2025-04-23,1474,弘裕,12.35,12.4,12.2,12.4,1204188,TWSE,2025-06-07 15:21:02
2025-04-23,1475,業旺,40.4,42.6,40.3,42.6,3596362,TWSE,2025-06-07 15:21:02
2025-04-23,1476,儒鴻,370.5,385.0,370.0,384.0,303454530,TWSE,2025-06-07 15:21:02
2025-04-23,1477,聚陽,258.0,274.0,258.0,271.0,690155407,TWSE,2025-06-07 15:21:02
2025-04-23,1503,士電,139.0,141.0,138.0,140.5,155922411,TWSE,2025-06-07 15:21:02
2025-04-23,1504,東元,48.1,48.9,47.95,47.95,89331881,TWSE,2025-06-07 15:21:02
2025-04-23,1506,正道,11.8,11.8,11.5,11.65,1776669,TWSE,2025-06-07 15:21:02
2025-04-23,1512,瑞利,6.35,6.35,6.29,6.3,218708,TWSE,2025-06-07 15:21:02
2025-04-23,1513,中興電,123.5,125.0,122.5,123.0,504359542,TWSE,2025-06-07 15:21:02
2025-04-23,1514,亞力,88.5,89.5,88.0,88.2,203972120,TWSE,2025-06-07 15:21:02
2025-04-23,1515,力山,31.5,32.15,31.0,31.1,16835448,TWSE,2025-06-07 15:21:02
2025-04-23,1516,川飛,14.3,14.55,14.15,14.4,401739,TWSE,2025-06-07 15:21:02
2025-04-23,1517,利奇,10.75,11.1,10.75,10.95,1335075,TWSE,2025-06-07 15:21:02
2025-04-23,1519,華城,385.0,396.0,383.0,393.0,1695812629,TWSE,2025-06-07 15:21:02
2025-04-23,1521,大億,26.9,26.9,25.95,26.0,1441663,TWSE,2025-06-07 15:21:02
2025-04-23,1522,堤維西,46.5,46.5,46.05,46.35,30639196,TWSE,2025-06-07 15:21:02
2025-04-23,1524,耿鼎,32.55,32.55,31.75,32.1,120584830,TWSE,2025-06-07 15:21:02
2025-04-23,1525,江申,60.5,61.0,60.4,60.7,745555,TWSE,2025-06-07 15:21:02
2025-04-23,1526,日馳,18.65,19.25,18.6,18.7,1273820,TWSE,2025-06-07 15:21:02
2025-04-23,1527,鑽全,35.05,35.65,35.05,35.6,4171948,TWSE,2025-06-07 15:21:02
2025-04-23,1528,恩德,11.95,12.15,11.9,12.0,13186575,TWSE,2025-06-07 15:21:02
2025-04-23,1529,樂事綠能,22.05,23.4,21.8,21.8,37112814,TWSE,2025-06-07 15:21:02
2025-04-23,1530,亞崴,30.0,31.0,29.3,30.4,4944037,TWSE,2025-06-07 15:21:02
2025-04-23,1531,高林股,12.3,12.35,12.25,12.3,678805,TWSE,2025-06-07 15:21:02
2025-04-23,1532,勤美,25.35,25.6,25.3,25.4,12411385,TWSE,2025-06-07 15:21:02
2025-04-23,1533,車王電,28.6,28.6,28.45,28.5,754616,TWSE,2025-06-07 15:21:02
2025-04-23,1535,中宇,53.4,54.9,53.4,54.1,1593437,TWSE,2025-06-07 15:21:02
2025-04-23,1536,和大,55.8,56.1,54.7,55.4,276399148,TWSE,2025-06-07 15:21:02
2025-04-23,1537,廣隆,137.5,139.5,137.5,138.5,11478994,TWSE,2025-06-07 15:21:02
2025-04-23,1538,正峰,27.1,28.3,27.1,27.2,209146,TWSE,2025-06-07 15:21:02
2025-04-23,1539,巨庭,18.6,18.85,18.55,18.6,2491490,TWSE,2025-06-07 15:21:02
2025-04-23,1540,喬福,28.0,28.25,27.65,27.75,15884377,TWSE,2025-06-07 15:21:02
2025-04-23,1541,錩泰,25.4,25.9,24.95,24.95,565343,TWSE,2025-06-07 15:21:02
2025-04-23,1558,伸興,96.6,97.2,96.6,96.7,3836865,TWSE,2025-06-07 15:21:02
2025-04-23,1560,中砂,191.0,203.5,190.5,203.5,356348504,TWSE,2025-06-07 15:21:02
2025-04-23,1563,巧新,58.9,59.6,57.7,59.5,23639897,TWSE,2025-06-07 15:21:02
2025-04-23,1568,倉佑,23.35,23.35,22.8,22.9,2875619,TWSE,2025-06-07 15:21:02
2025-04-23,1582,信錦,74.7,76.4,74.7,76.2,71919045,TWSE,2025-06-07 15:21:02
2025-04-23,1583,程泰,58.4,60.6,58.4,60.6,10071115,TWSE,2025-06-07 15:21:02
2025-04-23,1587,吉茂,27.0,27.65,27.0,27.5,3048719,TWSE,2025-06-07 15:21:02
2025-04-23,1589,永冠-KY,27.55,28.35,27.55,28.1,2953765,TWSE,2025-06-07 15:21:02
2025-04-23,1590,亞德客-KY,790.0,825.0,790.0,808.0,636114703,TWSE,2025-06-07 15:21:02
2025-04-23,1597,直得,64.3,66.1,64.1,64.9,42976436,TWSE,2025-06-07 15:21:02
2025-04-23,1598,岱宇,23.2,23.75,23.2,23.55,5842542,TWSE,2025-06-07 15:21:02
2025-04-23,1603,華電,32.4,33.4,32.4,32.95,7589032,TWSE,2025-06-07 15:21:02
2025-04-23,1604,聲寶,24.75,25.15,24.75,24.95,5221039,TWSE,2025-06-07 15:21:02
2025-04-23,1605,華新,19.7,20.1,19.65,19.8,265258218,TWSE,2025-06-07 15:21:02
2025-04-23,1608,華榮,23.5,23.9,23.35,23.55,28827447,TWSE,2025-06-07 15:21:02
2025-04-23,1609,大亞,33.95,35.8,33.95,35.0,243327616,TWSE,2025-06-07 15:21:02
